codigo,anio,mes,demanda_total,n_ots,precio_unitario_promedio,km_promedio,marca,stock_actual,stock_minimo,stock_maximo,fecha
01001-01016,2024,8,18.0,3,56.666666666666664,64097.666666666664,WOLVER,21.0,0.0,0.0,2024-08-01
01001-01016,2024,9,62.5,13,55.95538461538461,70741.53846153847,WOLVER,21.0,0.0,0.0,2024-09-01
01001-01016,2024,10,13.0,2,56.66,63432.0,WOLVER,21.0,0.0,0.0,2024-10-01
01001-01016,2024,11,14.5,3,56.66,45523.0,WOLVER,21.0,0.0,0.0,2024-11-01
01001-01016,2024,12,14.0,3,56.66,35940.666666666664,WOLVER,21.0,0.0,0.0,2024-12-01
01001-01016,2025,1,14.0,3,56.66,74482.0,WOLVER,21.0,0.0,0.0,2025-01-01
01001-01016,2025,2,13.0,2,56.66,68152.5,WOLVER,21.0,0.0,0.0,2025-02-01
01001-01016,2025,3,7.0,3,56.66,68954.33333333333,WOLVER,21.0,0.0,0.0,2025-03-01
01001-01016,2025,4,23.0,4,56.66,87416.75,WOLVER,21.0,0.0,0.0,2025-04-01
01001-01016,2025,6,17.0,3,56.66,94994.66666666667,WOLVER,21.0,0.0,0.0,2025-06-01
01001-01016,2025,9,14.0,3,52.77333333333333,58290.666666666664,WOLVER,21.0,0.0,0.0,2025-09-01
01001-01016,2025,10,11.0,3,56.66,112436.66666666667,WOLVER,21.0,0.0,0.0,2025-10-01
01001-01016,2025,11,25.0,4,53.745,65369.0,WOLVER,21.0,0.0,0.0,2025-11-01
01001-01016,2025,12,4.5,1,56.66,40568.0,WOLVER,21.0,0.0,0.0,2025-12-01
01001-01016,2026,1,13.0,2,56.66,75619.5,WOLVER,21.0,0.0,0.0,2026-01-01
01001-01016,2026,2,5.0,1,56.66,143155.0,WOLVER,21.0,0.0,0.0,2026-02-01
01001-01016,2026,3,6.0,1,63.0,27197.0,WOLVER,21.0,0.0,0.0,2026-03-01
01001-01016,2026,4,18.0,3,85.0,55217.0,WOLVER,21.0,0.0,0.0,2026-04-01
01001-01017,2024,3,1.0,1,140.0,51936.0,WURTH ROSADO 5 LIT,4.0,0.0,0.0,2024-03-01
01001-01017,2024,4,1.0,1,180.0,78897.0,WURTH ROSADO 5 LIT,4.0,0.0,0.0,2024-04-01
01001-01017,2024,10,1.0,1,132.64,87685.0,WURTH ROSADO 5 LIT,4.0,0.0,0.0,2024-10-01
01001-01017,2025,1,4.0,2,132.64,58637.0,WURTH ROSADO 5 LIT,4.0,0.0,0.0,2025-01-01
01001-01017,2025,4,1.0,1,132.64,144740.0,WURTH ROSADO 5 LIT,4.0,0.0,0.0,2025-04-01
01001-01017,2025,5,1.0,1,132.64,78835.0,WURTH ROSADO 5 LIT,4.0,0.0,0.0,2025-05-01
01001-01017,2025,6,2.0,2,157.64,48323.0,WURTH ROSADO 5 LIT,4.0,0.0,0.0,2025-06-01
01001-01017,2025,12,1.0,1,153.06,82791.0,WURTH ROSADO 5 LIT,4.0,0.0,0.0,2025-12-01
01001-01017,2026,3,1.0,1,153.06,74155.0,WURTH ROSADO 5 LIT,4.0,0.0,0.0,2026-03-01
01001-01017,2026,4,2.0,2,153.06,72480.0,WURTH ROSADO 5 LIT,4.0,0.0,0.0,2026-04-01
01001-01018,2024,4,4.0,1,39.2,128382.0,SIN MARCA,4.0,0.0,0.0,2024-04-01
01001-01018,2024,8,4.0,1,56.66,138480.0,SIN MARCA,4.0,0.0,0.0,2024-08-01
01001-01018,2024,9,4.0,1,39.2,128434.0,SIN MARCA,4.0,0.0,0.0,2024-09-01
01001-01019,2024,4,3.0,3,105.0,219307.33333333334,WURTH AZUL,0.0,0.0,0.0,2024-04-01
01001-01019,2025,3,1.0,1,110.0,214200.0,WURTH AZUL,0.0,0.0,0.0,2025-03-01
01001-01019,2025,5,1.5,2,110.0,184203.0,WURTH AZUL,0.0,0.0,0.0,2025-05-01
01001-01019,2025,7,1.0,1,110.0,129918.0,WURTH AZUL,0.0,0.0,0.0,2025-07-01
01001-01020,2024,5,1.0,1,132.66,1.0,MOTUL NARANJA,0.5,0.0,0.0,2024-05-01
01001-01020,2024,8,1.5,1,160.0,129469.0,MOTUL NARANJA,0.5,0.0,0.0,2024-08-01
01001-01020,2024,10,1.0,1,280.0,84793.0,MOTUL NARANJA,0.5,0.0,0.0,2024-10-01
01001-01021,2024,4,1.0,1,92.4,73123.0,SIN MARCA,0.0,0.0,0.0,2024-04-01
01001-01022,2024,5,6.0,1,46.67,49235.0,SIN MARCA,4.0,0.0,0.0,2024-05-01
01001-01022,2024,6,8.0,1,35.0,84226.0,SIN MARCA,4.0,0.0,0.0,2024-06-01
01001-01022,2024,8,15.0,3,37.333333333333336,105149.33333333333,SIN MARCA,4.0,0.0,0.0,2024-08-01
01001-01022,2024,9,19.0,3,39.666666666666664,147129.0,SIN MARCA,4.0,0.0,0.0,2024-09-01
01001-01022,2024,11,8.0,1,42.0,85566.0,SIN MARCA,4.0,0.0,0.0,2024-11-01
01001-01022,2024,12,6.0,1,42.0,64423.0,SIN MARCA,4.0,0.0,0.0,2024-12-01
01001-01022,2025,4,15.0,2,42.0,127439.0,SIN MARCA,4.0,0.0,0.0,2025-04-01
01001-01022,2025,5,37.0,5,42.0,102003.8,SIN MARCA,4.0,0.0,0.0,2025-05-01
01001-01022,2025,7,8.0,1,49.56,161812.0,SIN MARCA,4.0,0.0,0.0,2025-07-01
01001-01022,2025,8,14.0,2,42.0,92991.5,SIN MARCA,4.0,0.0,0.0,2025-08-01
01001-01022,2025,10,6.0,1,42.0,80218.0,SIN MARCA,4.0,0.0,0.0,2025-10-01
01001-01022,2025,12,8.0,1,42.0,110881.0,SIN MARCA,4.0,0.0,0.0,2025-12-01
01001-01022,2026,1,7.0,1,42.0,105740.0,SIN MARCA,4.0,0.0,0.0,2026-01-01
01001-01022,2026,2,13.0,2,42.0,89765.0,SIN MARCA,4.0,0.0,0.0,2026-02-01
01001-01022,2026,3,14.0,2,32.5,99959.5,SIN MARCA,4.0,0.0,0.0,2026-03-01
01001-01023,2024,6,1.0,1,85.0,139625.0,SIN MARCA,0.0,0.0,0.0,2024-06-01
01001-01023,2024,8,3.0,1,85.0,138480.0,SIN MARCA,0.0,0.0,0.0,2024-08-01
01001-01023,2026,5,1.0,1,46.0,320076.0,SIN MARCA,0.0,0.0,0.0,2026-05-01
01001-01024,2024,6,7.0,1,122.86,84146.0,SIN MARCA,13.0,0.0,0.0,2024-06-01
01001-01024,2024,11,6.0,1,102.1,93987.0,SIN MARCA,13.0,0.0,0.0,2024-11-01
01001-01025,2024,7,8.0,1,66.0,138199.0,SASH GLOBAL MULTI,4.0,0.0,0.0,2024-07-01
01001-01025,2025,4,6.0,1,67.87,82104.0,SASH GLOBAL MULTI,4.0,0.0,0.0,2025-04-01
01001-01026,2024,8,3.5,3,127.77666666666666,108102.0,PRESTONE ROJO 50/50 1 GL.,6.0,0.0,0.0,2024-08-01
01001-01026,2024,9,5.0,3,103.33333333333333,91126.66666666667,PRESTONE ROJO 50/50 1 GL.,6.0,0.0,0.0,2024-09-01
01001-01026,2024,10,2.0,1,91.12,84677.0,PRESTONE ROJO 50/50 1 GL.,6.0,0.0,0.0,2024-10-01
01001-01026,2024,11,1.0,1,91.12,127617.0,PRESTONE ROJO 50/50 1 GL.,6.0,0.0,0.0,2024-11-01
