codigo,anio,mes,demanda_total,n_ots,precio_unitario_promedio,km_promedio,marca,stock_actual,stock_minimo,stock_maximo,fecha,lag_1,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,mes_sin,mes_cos,km_log,km_por_mes,precio_log,sobre_stock,codigo_enc,marca_enc
01001-01008,2026,3,5.0,1,48.0,74155.0,SIN MARCA,13.0,0.0,0.0,2026-03-01,5.0,4.0,5.0,5.0,9.333333333333334,7.505553499465135,7.25,5.493177586788907,1.0,6.123233995736766e-17,11.213926261352483,3.737975420450828,3.8918202981106265,1,8,1
01001-01012,2026,3,6.0,1,140.0,103119.0,HONDA,2.0,0.0,0.0,2026-03-01,5.0,4.0,23.0,8.0,5.333333333333333,0.577350269189638,4.5,1.048808848170153,1.0,6.123233995736766e-17,11.54364863761307,3.8478828792043562,4.948759890378168,1,12,3
01001-01012,2026,4,3.0,1,140.0,134932.0,HONDA,2.0,0.0,0.0,2026-04-01,6.0,5.0,4.0,3.0,4.666666666666667,1.5275252316519514,4.333333333333333,1.2110601416389977,0.8660254037844387,-0.4999999999999998,11.812533637928501,2.9531334094821253,4.948759890378168,1,12,3
01001-01016,2025,4,23.0,4,56.66,87416.75,WOLVER,21.0,0.0,0.0,2025-04-01,7.0,14.0,13.0,6.0,14.333333333333334,8.082903768654761,14.25,5.116150896914597,0.8660254037844387,-0.4999999999999998,11.378453630268648,2.844613407567162,4.054563692210256,1,16,0
01001-01016,2025,6,17.0,3,56.66,94994.66666666669,WOLVER,21.0,0.0,0.0,2025-06-01,23.0,13.0,14.5,12.0,15.666666666666666,8.082903768654761,14.666666666666666,5.240865068542283,1.2246467991473532e-16,-1.0,11.461586555507239,1.9102644259178732,4.054563692210256,1,16,0
01001-01016,2025,9,14.0,3,52.77333333333333,58290.66666666666,WOLVER,21.0,0.0,0.0,2025-09-01,17.0,7.0,14.0,10.0,18.0,4.582575694955842,14.666666666666666,5.240865068542283,-1.0,-1.8369701987210297e-16,10.973214423299673,1.219246047033297,3.9847776813370577,1,16,0
01001-01016,2025,10,11.0,3,56.66,112436.66666666669,WOLVER,21.0,0.0,0.0,2025-10-01,14.0,23.0,14.0,12.0,14.0,3.000000000000002,14.166666666666666,5.45588367422425,-0.8660254037844386,0.5000000000000001,11.630154272996775,1.1630154272996776,4.054563692210256,1,16,0
01001-01016,2025,11,25.0,4,53.745,65369.0,WOLVER,21.0,0.0,0.0,2025-11-01,11.0,17.0,13.0,18.0,16.666666666666668,7.3711147958319945,16.166666666666668,6.940220937885675,-0.5000000000000004,0.8660254037844384,11.087818716606776,1.007983519691525,4.002686040325388,1,16,0
01001-01016,2025,12,4.5,1,56.66,40568.0,WOLVER,21.0,0.0,0.0,2025-12-01,25.0,14.0,7.0,62.5,13.5,10.476163419878482,15.75,7.6403533949680655,-2.4492935982947064e-16,1.0,10.61075950714147,0.8842299589284558,4.054563692210256,1,16,0
01001-01016,2026,1,13.0,2,56.66,75619.5,WOLVER,21.0,0.0,0.0,2026-01-01,4.5,11.0,23.0,13.0,14.166666666666666,10.29967637032025,14.083333333333334,6.785400995274096,0.49999999999999994,0.8660254037844387,11.23348268943047,11.23348268943047,4.054563692210256,1,16,0
